Team,SOS,NET,Offensive Rating,Defensive Rating,EFG,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,PACE,3PAR,FTAR,PPG,FG%,2FG%,3FG%,FT%,APG,AST-TOV,Allowed_PPG,Allowed_FG%,2Point_Allowed_FG%,3Point_Allowed_FG%,SPG,BPG,Fouls,ADJOE,ADJDE,BARTHAG,WAB,CONF
Texas A&M-Corpus Christi,253,165,107.2,103.9,52.80%,54.70%,31.90%,69.50%,51.00%,51.40%,10.50%,6.40%,67.6,0.292,0.367,72.5,47.70%,53.00%,34.70%,62.20%,13.8,1.16,70.1,43.50%,48.40%,35.00%,7.1,3.5,18.3,106.418,104.8136,0.5433145,-8.3163,Slnd
UMBC,306,296,107.2,111.9,55.30%,57.70%,19.40%,66.30%,43.70%,50.60%,9.90%,3.90%,70.8,0.384,0.316,77.3,47.90%,53.80%,38.40%,70.00%,14.1,1.23,80.6,48.00%,54.30%,35.90%,7.1,2.4,15.3,105.1204,119.1357,0.1907316,-15.7308,AE
Grand Canyon,244,92,107,96.2,50.80%,55.30%,32.30%,71.00%,52.20%,51.50%,12.40%,8.60%,72.3,0.338,0.437,77.6,45.50%,52.70%,31.30%,73.30%,13.6,1.01,70,41.80%,46.70%,32.30%,9,5.1,17.7,107.8142,100.165,0.70009,-2.772,WAC
Loyola-Chicago,110,107,107,101.6,52.50%,54.90%,29.50%,72.50%,51.40%,60.00%,9.00%,8.20%,67.2,0.426,0.315,72.7,45.30%,53.60%,34.00%,67.20%,15.6,1.33,69.1,41.80%,47.30%,33.50%,6.1,4.7,17.9,108.8126,101.283,0.696091,-4.9104,A10
Eastern Michigan,256,268,106.9,111.8,52.40%,55.90%,29.70%,68.30%,48.80%,46.80%,10.00%,5.80%,68,0.382,0.33,73.3,45.70%,52.40%,35.00%,74.30%,12.1,0.94,77.1,46.40%,51.90%,37.70%,6.9,3.3,18.2,104.8212,113.1306,0.2923266,-12.1239,MAC
Louisiana Tech,122,126,106.9,103.5,52.60%,56.30%,29.10%,71.40%,51.90%,57.40%,8.60%,6.70%,65.8,0.414,0.35,71.5,45.50%,53.60%,34.10%,75.00%,14.2,1.12,69.3,41.80%,48.90%,30.70%,5.8,4,16.3,107.7147,105.2143,0.5676136,-6.6132,CUSA
Providence,63,100,106.9,108.1,52.10%,54.60%,33.20%,71.30%,52.80%,51.20%,7.40%,5.80%,66.5,0.455,0.296,71.3,44.00%,51.10%,35.60%,68.60%,12.9,1.01,72.5,43.30%,49.00%,33.50%,5,3.4,17.3,111.194,104.9138,0.6582104,-8.4168,BE
Ball State,328,276,106.8,109.7,51.30%,55.30%,26.40%,72.10%,49.60%,51.40%,6.70%,3.70%,68.5,0.371,0.445,73.8,44.90%,51.00%,34.60%,70.30%,12.7,1.13,75.2,45.40%,54.50%,31.50%,4.6,2.2,16.5,103.5227,112.2293,0.2815272,-13.8272,MAC
Albany,326,263,106.7,108,49.30%,52.60%,32.30%,71.60%,50.10%,45.50%,11.70%,4.30%,68.2,0.358,0.294,73.6,43.60%,50.20%,31.70%,72.30%,12.2,1.13,74.8,48.70%,55.70%,35.70%,8.1,2.4,16.8,103.4228,112.7301,0.2713276,-12.9254,AE
Drexel,251,185,106.7,103.9,52.20%,54.40%,33.00%,69.90%,52.30%,48.40%,7.50%,7.70%,64,0.371,0.242,69.6,45.70%,51.90%,35.00%,69.80%,12.7,1.05,67.6,42.30%,48.10%,31.60%,4.9,4.5,14.8,104.0221,105.716,0.452718,-11.723,CAA
Sacred Heart,258,254,106.7,107.1,51.00%,54.00%,31.40%,70.00%,50.30%,61.70%,10.40%,4.80%,70.1,0.447,0.264,75.1,43.30%,50.40%,34.50%,73.50%,16.5,1.32,75.7,44.20%,50.80%,35.40%,7.3,2.9,15.9,105.2201,111.6278,0.3349245,-14.7291,MAAC
Colgate,236,247,106.6,107.8,54.20%,56.40%,23.70%,73.20%,48.80%,52.30%,9.50%,4.10%,66.4,0.422,0.226,71.4,46.60%,54.60%,35.70%,73.10%,13.9,1.24,72.7,45.80%,51.50%,37.30%,6.4,2.4,14.8,104.0222,113.2309,0.2736274,-14.9296,Pat
Middle Tennessee,75,105,106.6,104.1,51.00%,53.70%,30.60%,71.30%,51.00%,45.50%,8.80%,7.00%,68.7,0.397,0.324,75.2,44.70%,53.40%,31.50%,67.80%,12.3,1.05,73.8,43.30%,49.80%,31.50%,6.3,4.3,17.2,108.7127,104.3125,0.6165118,-4.394,CUSA
Utah Valley,264,108,106.6,99.3,50.60%,54.30%,30.90%,73.40%,52.70%,57.10%,9.30%,9.00%,69,0.312,0.42,74.2,45.60%,51.50%,32.50%,69.00%,14.8,1.23,68.9,41.90%,45.90%,34.00%,6.4,5.3,16.7,106.916,102.293,0.6255115,-3.38,WAC
Georgia State,201,265,106.5,112.5,50.40%,53.40%,32.30%,68.10%,50.90%,43.90%,7.20%,4.60%,69.4,0.333,0.338,74.2,44.70%,49.80%,34.40%,68.60%,11.7,1,78.7,44.20%,52.00%,33.20%,5,3,16.1,107.4153,113.9315,0.3377244,-13.2261,SB
Presbyterian College,248,240,106.5,109.8,51.20%,53.90%,29.20%,69.10%,48.60%,46.40%,9.50%,5.50%,65.4,0.339,0.312,70.5,45.10%,49.70%,36.00%,68.50%,11.9,1.12,72.9,47.00%,53.80%,34.30%,6.3,3,18.3,103.2232,110.6258,0.3127253,-13.9276,BSth
South Carolina State,354,196,106.5,100.3,50.80%,54.70%,35.60%,67.30%,51.10%,57.10%,12.70%,6.60%,70.7,0.33,0.429,76,45.10%,50.20%,34.70%,70.20%,14.8,1.05,71.5,44.80%,51.80%,31.10%,9,3.6,21.5,102.6243,104.5128,0.4470184,-9.2182,MEAC
UIC,113,154,106.5,107.1,51.10%,54.60%,30.00%,72.10%,50.90%,56.00%,8.90%,5.40%,68.4,0.394,0.351,74.1,44.40%,51.10%,34.00%,72.10%,14.4,1.18,75.3,45.50%,51.60%,34.40%,6.3,3.2,17.8,105.6197,107.82,0.4414189,-8.1159,MVC
Kent State,101,128,106.3,101,48.70%,52.50%,35.30%,72.40%,53.30%,45.60%,10.90%,5.60%,67.9,0.37,0.302,72.5,42.90%,49.80%,31.20%,74.80%,11.8,1.01,68.4,41.80%,49.60%,31.20%,7.4,3.1,18.3,106.5175,101.789,0.6300112,-5.8119,MAC
Oakland,143,193,106.2,109.6,50.10%,53.20%,34.10%,67.60%,50.80%,51.10%,9.90%,5.10%,64.9,0.423,0.317,70.5,43.70%,53.20%,30.60%,69.90%,12.8,1.08,72.2,44.10%,49.80%,35.90%,6.5,3,16.2,106.7166,108.7225,0.4460185,-10.9214,Horz
George Mason,76,68,106.1,96,51.70%,55.70%,31.80%,70.70%,52.80%,52.60%,11.30%,5.80%,65,0.364,0.427,70.4,45.30%,50.90%,35.40%,71.40%,12.5,0.95,64,38.50%,45.00%,31.00%,7.5,3.3,16.7,106.3184,96.223,0.760273,-0.4956,A10
Princeton,130,166,106.1,106.4,51.50%,53.90%,26.00%,75.90%,49.30%,54.00%,10.00%,3.60%,67.9,0.487,0.246,72.1,42.90%,50.10%,35.30%,70.70%,13.9,1.34,72.4,46.20%,53.60%,35.40%,6.8,2,15.6,103.5226,107.419,0.3959209,-6.3128,Ivy
Sam Houston State,103,178,106.1,111.3,51.00%,54.80%,30.30%,67.90%,49.10%,49.40%,8.50%,4.80%,67.8,0.386,0.364,72.9,43.60%,47.00%,38.30%,72.90%,12.2,0.97,77.1,45.70%,52.30%,36.20%,5.9,2.8,17.9,110.799,110.4256,0.5063156,-11.8233,CUSA
Montana State,270,186,106,105.7,52.80%,55.90%,20.70%,70.60%,46.40%,52.00%,9.20%,6.10%,66.4,0.43,0.319,70.7,45.40%,53.80%,34.30%,72.50%,13,1.28,70.7,44.00%,50.60%,29.80%,6.1,3.5,16.3,104.821,107.0186,0.4418188,-12.124,BSky
Syracuse,65,133,106,110.8,51.00%,54.20%,31.40%,73.90%,52.70%,49.90%,7.00%,4.20%,68.9,0.327,0.331,74.7,45.70%,51.90%,32.80%,70.50%,13.6,1.08,77.8,46.30%,53.60%,34.50%,4.9,2.5,16.4,111.095,105.5152,0.6419109,-8.0157,ACC
Florida State,95,90,105.9,102.4,50.70%,54.60%,29.70%,68.20%,49.40%,50.00%,10.70%,8.20%,70,0.337,0.394,74.5,45.40%,52.30%,31.70%,71.70%,13,1.06,72.5,41.80%,49.00%,31.90%,7.6,4.8,19.1,107.7144,100.875,0.681696,-5.4116,ACC
UTSA,117,201,105.9,110.2,49.70%,53.80%,27.00%,64.40%,44.70%,48.10%,12.60%,6.00%,69.6,0.441,0.29,74.4,41.70%,46.10%,36.10%,79.10%,12.2,1.12,77.5,46.60%,53.20%,35.70%,8.8,3.4,18.8,107.2156,108.9232,0.4543179,-12.7248,Amer
North Carolina Central,329,319,105.8,112.3,50.10%,53.90%,34.60%,61.20%,47.10%,54.60%,10.40%,3.90%,68.7,0.34,0.398,74,44.40%,49.90%,33.70%,70.10%,14,1.04,78.8,49.40%,57.60%,32.70%,7.3,2.2,20.3,102.5247,116.9347,0.1798324,-15.4304,MEAC
Rice,257,204,105.8,106.1,48.60%,52.60%,33.70%,70.40%,52.20%,50.90%,7.20%,5.40%,65.9,0.388,0.433,70.4,42.10%,47.80%,33.20%,68.30%,11.9,1.01,70.3,41.90%,47.50%,32.10%,4.7,3.1,17.9,106.5176,107.8201,0.4646175,-14.1277,Amer
Cleveland State,218,174,105.7,103.2,49.50%,53.00%,34.50%,66.40%,49.90%,50.60%,12.10%,8.30%,66.3,0.323,0.308,70.3,44.20%,49.80%,32.60%,72.80%,13,1.09,68,44.20%,50.30%,35.00%,8,4.3,17.9,104.2218,104.1117,0.5039158,-7.615,Horz
George Washington,173,124,105.7,101.4,50.60%,54.30%,31.50%,67.50%,49.80%,55.50%,13.00%,5.20%,67.7,0.423,0.41,72.3,44.00%,53.30%,31.30%,69.50%,13.6,1.07,68.6,42.60%,49.40%,31.80%,8.8,3.1,15.1,107.2155,103.1106,0.6099119,-6.7136,A10
Central Michigan,224,219,105.6,107.3,49.80%,53.70%,32.10%,70.90%,51.50%,48.90%,10.30%,4.50%,68.2,0.333,0.358,72.7,44.60%,51.20%,31.30%,73.20%,12.6,1.03,74.4,45.20%,52.50%,35.90%,7.1,2.6,16.7,105.0207,109.524,0.381622,-11.5223,MAC
UTA,284,231,105.6,108.8,51.70%,54.20%,32.80%,67.50%,50.30%,53.40%,8.10%,5.10%,68.2,0.422,0.37,73,44.20%,50.60%,35.40%,65.30%,13.5,1.01,75.7,44.10%,48.50%,36.00%,5.7,3.1,18.1,106.4183,112.8304,0.3379243,-13.0256,WAC
Georgetown,126,88,105.5,100.9,50.40%,53.00%,31.90%,71.20%,51.00%,53.20%,11.60%,6.50%,68.3,0.378,0.255,72.1,44.40%,51.80%,32.00%,70.50%,14.3,1.23,69.2,42.90%,48.90%,33.60%,7.9,3.7,15.7,107.8141,100.469,0.692993,-4.6101,BE
Howard,325,316,105.5,113.5,53.50%,57.30%,29.10%,66.70%,48.30%,57.00%,7.90%,4.70%,71,0.384,0.357,75.6,46.50%,52.60%,36.60%,76.00%,14.9,0.99,80.7,46.80%,53.30%,33.90%,5.6,2.8,19.2,103.0238,115.6335,0.2109304,-15.7307,MEAC
Wichita State,128,134,105.5,104.8,48.60%,52.60%,32.00%,71.20%,52.00%,44.40%,9.50%,7.20%,69.3,0.284,0.349,73.6,44.30%,49.90%,30.20%,72.70%,11.8,1.04,73.1,43.60%,49.70%,33.60%,6.6,4.4,15.4,106.6173,104.1119,0.5677135,-7.3145,Amer
Valparaiso,150,206,105.4,109.2,47.70%,52.60%,26.50%,71.50%,47.60%,45.20%,8.50%,6.20%,68,0.384,0.336,72.5,41.50%,47.30%,32.30%,79.00%,11.2,1.16,75.3,47.40%,54.20%,35.20%,5.9,3.5,16.8,105.9192,109.6242,0.4027207,-12.7249,MVC
Cal State Bakersfield,195,244,105.3,111.2,48.20%,52.90%,35.60%,70.70%,52.10%,38.00%,9.70%,5.10%,67.4,0.285,0.345,71.5,43.00%,45.30%,37.10%,77.30%,9.5,0.74,75.2,46.90%,55.00%,35.60%,6.6,2.7,20.6,105.1203,113.2307,0.2989262,-14.1278,BW
Central Connecticut,353,168,105.3,95,52.20%,55.10%,26.70%,74.60%,52.00%,50.40%,11.20%,7.00%,66,0.348,0.259,69.8,46.50%,53.70%,32.90%,74.50%,13.2,1.16,63.1,41.20%,49.00%,30.60%,7.4,4.1,11.3,99.2305,101.79,0.4285192,-4.7103,NEC
Murray State,106,146,105.3,105.1,49.40%,53.80%,29.10%,73.60%,50.60%,48.90%,9.50%,5.30%,65.5,0.401,0.412,70.6,42.70%,48.70%,33.70%,72.20%,11.4,1.01,70.2,46.00%,52.60%,32.10%,6.3,2.9,17.5,105.3199,104.7132,0.516815,-10.4205,MVC
North Carolina State,119,132,105.2,106.7,48.30%,52.00%,28.80%,67.50%,47.20%,50.90%,9.80%,6.80%,65.9,0.361,0.322,69.6,42.50%,48.30%,32.20%,72.60%,12.5,1.32,70.4,45.40%,50.80%,34.30%,6.5,3.8,16.6,107.7148,103.1105,0.6235116,-9.1181,ACC
Virginia,45,110,105.2,108.3,52.70%,55.60%,22.40%,70.30%,47.10%,63.60%,8.90%,6.90%,61.6,0.428,0.264,64.8,44.60%,49.90%,37.50%,75.30%,14.7,1.46,66.8,44.20%,50.60%,34.10%,5.5,3.8,15.3,111.391,104.6131,0.671397,-5.912,ACC
American,271,226,105.1,105.6,52.00%,55.40%,23.80%,72.60%,47.80%,52.20%,9.60%,3.50%,63.5,0.453,0.29,67.8,44.10%,51.40%,35.20%,75.70%,12.4,1.14,68.5,46.40%,53.50%,33.80%,6.2,1.8,17.8,101.7263,108.6221,0.3189249,-8.3164,Pat
Bucknell,276,213,105.1,103.7,53.80%,56.20%,26.00%,72.00%,49.80%,52.00%,9.40%,5.50%,67.4,0.41,0.367,74,46.60%,54.40%,35.30%,66.40%,13.6,1.03,73.2,43.20%,49.00%,34.70%,6.6,3.2,17.8,103.4229,107.7198,0.3840218,-10.4204,Pat
Gardner-Webb,198,266,105.1,111.4,51.90%,55.00%,33.40%,69.80%,51.90%,39.40%,7.40%,5.40%,70.2,0.331,0.362,73.8,46.40%,53.10%,33.00%,69.20%,10.5,0.72,78.1,45.90%,54.20%,32.30%,5.2,3.3,18.8,102.3248,111.0264,0.283027,-15.0297,BSth
Hampton,163,212,105.1,106.9,47.50%,50.90%,34.00%,71.30%,50.90%,42.20%,10.60%,5.50%,65.9,0.367,0.303,69.6,41.50%,46.90%,32.40%,70.80%,10.5,0.99,70.8,46.50%,53.30%,34.20%,7,2.9,18.8,103.6224,107.0188,0.4087203,-11.6226,CAA
Southern Illinois,83,195,105.1,110,51.60%,54.30%,30.30%,72.00%,51.40%,52.30%,8.70%,5.20%,68.2,0.336,0.342,72.2,45.70%,51.00%,35.10%,67.80%,13.6,1.09,75.5,45.40%,51.50%,36.10%,6,3,17,106.5177,107.7197,0.4666174,-12.6247,MVC
Morgan State,359,332,104.9,113.6,49.20%,53.10%,33.60%,63.00%,48.60%,43.70%,8.30%,7.30%,71.6,0.217,0.358,76.2,45.80%,49.70%,31.60%,72.50%,12.3,0.94,82.8,46.10%,51.00%,36.80%,6.1,4.6,18.8,100.5287,117.1348,0.1466337,-14.5286,MEAC
Navy,319,270,104.9,106.3,48.00%,52.10%,31.30%,72.80%,51.20%,52.70%,9.50%,4.70%,66.6,0.371,0.339,70.1,41.80%,46.80%,33.40%,73.10%,12.8,1.19,71.2,45.30%,52.60%,34.90%,6.4,2.6,16.5,101.2269,111.828,0.2414286,-16.3314,Pat
South Florida,136,189,104.9,106.4,49.70%,53.40%,27.70%,66.80%,47.30%,53.80%,11.30%,5.90%,69.4,0.376,0.349,73.4,43.80%,51.10%,31.60%,71.80%,13.9,1.22,75.4,43.50%,49.60%,33.30%,8,3.5,17.5,102.5246,105.7158,0.41312,-12.5244,Amer
Southeastern Louisiana,327,208,104.9,104.4,49.20%,53.30%,30.90%,70.60%,50.80%,46.20%,10.10%,4.10%,67.3,0.316,0.347,71.2,44.10%,49.50%,32.40%,74.50%,11.7,0.99,70.6,44.20%,51.90%,33.70%,6.8,2.3,17.3,104.5214,107.9204,0.4113202,-9.4188,Slnd
Charlotte,186,267,104.8,113,48.30%,53.50%,25.40%,70.80%,47.20%,51.90%,7.70%,4.00%,65.7,0.409,0.427,70.2,42.00%,49.60%,31.00%,75.20%,11.9,1.18,75,48.50%,56.50%,33.20%,5.1,2.3,17.3,104.6213,112.5297,0.301526,-16.4317,Amer
Delaware State,363,305,104.7,109.2,48.80%,52.80%,34.00%,67.90%,50.10%,44.80%,11.40%,3.80%,71.3,0.207,0.363,75.4,45.10%,47.60%,35.50%,72.30%,12.3,0.94,78.6,46.90%,56.30%,33.50%,8.2,2.2,18.7,101.1271,114.7322,0.1907314,-11.0215,MEAC
Nicholls,200,171,104.7,104.3,48.10%,51.40%,30.60%,68.50%,49.20%,42.80%,10.60%,6.30%,68.3,0.368,0.331,72,41.70%,45.60%,35.00%,68.60%,10.8,1.03,71.7,42.40%,49.90%,30.10%,7.3,3.7,17.9,105.8193,105.9164,0.4989161,-7.3144,Slnd
UNLV,88,98,104.7,103.3,49.70%,53.50%,27.30%,70.20%,49.10%,49.60%,9.90%,6.50%,66.1,0.346,0.358,69.2,44.00%,49.60%,33.30%,71.70%,12.1,1.13,68.1,42.40%,50.50%,31.90%,6.5,3.6,16,106.8161,99.456,0.694292,-5.2111,MWC
Youngstown State,288,190,104.6,100.9,49.80%,53.90%,29.20%,69.00%,49.20%,51.40%,9.60%,8.80%,69.9,0.462,0.364,73.7,42.50%,52.10%,31.30%,73.70%,12.8,1.03,72.6,43.30%,48.10%,33.40%,6.9,5.2,18.8,102.5244,106.0165,0.4068205,-9.0179,Horz
Arizona State,21,74,104.5,108.2,51.50%,55.10%,25.10%,69.70%,47.80%,51.10%,7.40%,7.20%,70.1,0.426,0.362,74.1,43.90%,50.00%,35.60%,72.60%,12.8,1.03,76.8,44.10%,51.70%,32.90%,5.3,4.4,17.3,113.267,101.282,0.784267,-3.378,B12
Minnesota,35,96,104.5,107.4,49.90%,52.50%,30.20%,69.30%,49.40%,61.20%,9.30%,8.40%,63.9,0.36,0.315,68.1,44.10%,50.80%,32.20%,66.40%,15.2,1.41,69.7,44.20%,49.20%,34.50%,6,4.7,17.5,110.0106,101.487,0.717886,-4.29,B10
Saint Bonaventure,124,97,104.5,100.1,49.90%,53.30%,27.40%,72.90%,50.10%,42.90%,11.30%,5.80%,65.2,0.352,0.306,68.4,44.40%,51.50%,31.30%,72.90%,10.7,1.03,65.6,42.30%,50.80%,32.80%,7.4,3.2,13.5,105.7196,99.355,0.670198,-4.395,A10
Brown,202,215,104.4,105.7,51.20%,53.00%,30.10%,69.20%,49.90%,53.80%,8.40%,8.80%,67.2,0.405,0.28,71.2,44.50%,52.20%,33.20%,63.20%,14.2,1.22,72.2,43.10%,49.20%,33.00%,5.7,5.3,15.8,102.5245,105.5153,0.4172198,-8.7172,Ivy
Siena,187,259,104.4,105.8,49.40%,53.70%,28.90%,70.10%,48.80%,48.30%,10.00%,8.80%,68.1,0.399,0.373,72.2,42.90%,49.50%,32.80%,74.30%,11.8,1,72.1,45.80%,51.80%,34.30%,6.8,5,16.3,102.1254,110.726,0.2843267,-14.6289,MAAC
UTRGV,268,251,104.4,109,51.70%,53.90%,30.80%,66.10%,48.30%,57.00%,10.50%,4.40%,71,0.49,0.227,74.1,43.90%,55.40%,31.80%,71.10%,15.5,1.14,76.8,45.50%,52.00%,33.40%,7.4,2.7,16.8,105.1202,109.7246,0.3800221,-10.0197,Slnd
Bellarmine,320,351,104.3,120.5,53.70%,56.70%,20.20%,69.80%,44.90%,52.40%,9.30%,3.00%,67.4,0.432,0.265,70.9,46.00%,53.90%,35.60%,76.60%,13.4,1.13,81.3,48.80%,57.70%,39.00%,6.3,1.7,17.7,103.4231,121.1359,0.139934,-21.4359,ASun
LSU,56,89,104.3,105.3,51.10%,54.30%,29.50%,65.70%,48.50%,48.70%,10.20%,7.50%,70,0.435,0.325,73.8,44.50%,55.20%,30.50%,71.40%,12.8,0.97,73.6,42.50%,48.20%,32.30%,7.1,4.7,16.8,108.7129,99.76,0.72978,-4.086,SEC
Portland State,351,200,104.3,102.9,50.50%,52.80%,33.40%,69.60%,51.20%,48.60%,10.70%,8.40%,68.5,0.317,0.343,71.8,45.40%,51.70%,32.00%,63.50%,12.9,1.02,70.9,43.80%,51.60%,31.70%,7.3,4.7,17.9,100.828,103.0103,0.436519,-9.4186,BSky
San Diego State,55,52,104.3,97.9,50.50%,53.10%,29.10%,69.00%,49.60%,50.70%,11.30%,9.60%,66.4,0.396,0.323,69.8,44.00%,51.50%,32.60%,66.50%,12.7,1.13,65.2,38.60%,45.10%,31.30%,7.5,5.3,18.6,109.0124,95.82,0.815858,0.945,MWC
California Baptist,222,172,104.2,102.8,48.30%,52.20%,33.30%,70.40%,51.30%,45.60%,9.70%,4.70%,67.6,0.35,0.297,71.2,42.70%,48.60%,31.70%,75.70%,11.7,0.97,70,44.90%,50.40%,33.10%,6.6,2.7,17.3,104.9209,105.1141,0.4936162,-9.8195,WAC
Colorado,47,86,104.2,108,50.50%,56.30%,28.90%,71.70%,51.40%,57.80%,10.30%,6.70%,66.4,0.372,0.363,69.7,44.50%,51.90%,32.20%,75.40%,13.6,0.97,71.9,42.90%,48.50%,34.20%,6.9,3.8,16.3,108.4135,99.557,0.728181,-4.51,B12
Georgia Southern,267,255,104.2,107.2,50.60%,52.60%,32.90%,66.80%,49.30%,50.30%,11.00%,6.40%,70,0.442,0.265,74.1,43.00%,49.80%,34.50%,65.10%,13.5,1,76.1,43.60%,51.20%,32.30%,7.8,3.7,19.7,103.2235,109.5241,0.3341246,-11.3221,SB
Georgia Tech,121,109,104.2,104.1,50.20%,53.00%,30.30%,71.40%,51.00%,56.00%,8.50%,6.10%,69.2,0.368,0.307,73.1,43.90%,49.50%,34.30%,68.70%,14.8,1.21,72.7,42.10%,46.90%,35.10%,5.9,3.7,15.8,106.9159,100.976,0.6602102,-5.4114,ACC
Tennessee State,295,250,104.2,103.4,51.30%,54.70%,33.80%,69.70%,52.50%,47.30%,9.70%,6.10%,71.2,0.336,0.414,76.1,45.90%,52.50%,32.60%,68.40%,12.6,0.82,75.4,42.80%,48.10%,33.40%,7.1,3.7,19.5,103.0239,108.5217,0.3556235,-13.0255,OVC
Northeastern,220,207,104.1,104,51.10%,53.60%,31.40%,68.60%,50.10%,49.70%,11.30%,8.20%,67.3,0.348,0.28,70.1,45.20%,51.30%,33.70%,68.70%,13,1.04,69.7,44.20%,49.20%,34.90%,7.6,4.7,16.2,104.1219,106.818,0.4271193,-11.1219,CAA
Southeast Missouri,255,188,104.1,99.3,51.30%,54.30%,23.80%,71.30%,47.50%,48.20%,11.10%,6.30%,68.8,0.36,0.289,72.3,45.10%,51.10%,34.50%,71.80%,12.7,1.19,69.3,42.80%,48.80%,30.00%,7.7,3.5,18.8,101.7264,104.5127,0.4217196,-8.7174,OVC
Jacksonville,247,181,104,104.4,50.20%,52.70%,35.50%,69.50%,52.10%,50.80%,11.20%,7.90%,68.4,0.339,0.286,71.4,44.00%,47.70%,36.80%,67.40%,13.3,0.99,71.9,44.40%,50.40%,34.70%,7.7,4.5,17.6,100.9275,105.1142,0.3837219,-7.8152,ASun
Pepperdine,175,227,104,111.2,49.70%,53.00%,27.60%,70.00%,48.70%,59.50%,8.60%,4.50%,69,0.347,0.316,71.8,43.80%,48.90%,34.00%,71.60%,15.3,1.38,77.2,45.90%,53.40%,34.20%,6,2.7,15.8,106.7168,109.9249,0.4140199,-12.5245,WCC
San Jose State,135,175,104,108.6,50.40%,54.00%,26.90%,68.20%,47.70%,50.50%,8.80%,4.80%,66.7,0.408,0.319,70.2,43.20%,48.60%,35.30%,73.90%,12.3,1.06,73.7,46.30%,54.20%,31.90%,6,2.9,16.1,106.7169,106.6177,0.5025159,-10.4206,MWC
Campbell,300,222,103.9,104.1,50.00%,53.70%,24.60%,72.30%,47.70%,54.00%,9.80%,5.40%,66,0.418,0.297,68.9,43.30%,51.50%,31.90%,76.40%,13.1,1.25,69.3,46.70%,55.80%,31.10%,6.5,3,16,101.227,106.4173,0.3588232,-12.7251,CAA
Duquesne,68,149,103.9,103.1,50.00%,52.30%,32.90%,69.30%,50.20%,54.30%,10.30%,8.10%,65.3,0.434,0.3,68.4,42.70%,49.40%,33.90%,64.70%,13.3,1.1,68.1,43.70%,48.10%,35.90%,6.8,4.3,17.9,106.4181,103.1107,0.589813,-13.1259,A10
Northern Kentucky,192,229,103.8,106.3,49.80%,52.50%,31.00%,67.60%,48.40%,54.20%,10.90%,5.50%,66.9,0.403,0.313,70.6,43.20%,50.30%,32.70%,67.20%,13.7,1.17,72.2,45.10%,50.60%,37.00%,7.4,3.2,15.8,103.1236,109.0235,0.3454239,-11.1218,Horz
Maine,323,203,103.7,100.4,51.60%,54.50%,21.80%,67.80%,44.90%,55.10%,13.30%,6.30%,66.3,0.33,0.282,69,45.70%,50.70%,35.60%,72.80%,14.1,1.37,67.1,44.40%,50.60%,33.30%,8.9,3.5,15.3,99.1308,104.4126,0.3540236,-10.3203,AE
Wake Forest,89,69,103.7,99.9,49.40%,53.80%,26.80%,68.50%,48.30%,45.80%,10.60%,6.90%,67.7,0.352,0.361,70.2,44.30%,52.90%,28.50%,75.60%,11.3,1,68,40.20%,48.20%,30.70%,7.2,3.9,16.5,107.7149,97.334,0.762071,0.485,ACC
Western Michigan,223,279,103.7,110.8,47.00%,50.10%,34.30%,72.10%,51.90%,45.40%,9.70%,3.90%,69.1,0.329,0.31,71.6,42.40%,49.30%,28.20%,67.40%,12,1.09,77,47.20%,55.10%,35.80%,6.8,2.3,17.9,102.3249,111.5276,0.2693277,-14.8292,MAC
Quinnipiac,189,191,103.6,100.5,48.40%,52.50%,33.30%,74.00%,53.60%,52.10%,11.40%,7.80%,71.1,0.38,0.311,74,42.70%,50.70%,29.80%,76.60%,13.7,1.07,72.2,42.80%,46.70%,36.10%,8.2,4.7,16.5,102.0257,106.1167,0.3874214,-9.3185,MAAC
Army,290,307,103.5,110.5,49.80%,51.90%,25.90%,70.80%,47.50%,50.50%,9.10%,3.50%,67.7,0.417,0.261,71.7,43.00%,50.20%,32.90%,68.00%,13.4,1.34,76.5,46.40%,54.80%,34.80%,6.3,2.1,15.9,100.2292,113.4311,0.1950312,-12.0237,Pat
Kansas State,59,75,103.5,102.6,50.60%,53.20%,29.40%,68.30%,48.80%,59.00%,10.90%,5.80%,68.1,0.402,0.276,70.8,44.10%,51.80%,32.50%,69.10%,15.3,1.27,69.6,43.30%,49.90%,31.50%,7.4,3.4,15.6,109.4116,96.022,0.816657,-2.671,B12
Kennesaw State,87,137,103.5,104.1,49.30%,53.60%,32.50%,72.50%,53.00%,50.50%,8.90%,7.30%,70.6,0.455,0.388,73.7,42.40%,52.20%,30.60%,73.20%,12.4,0.89,74,42.10%,48.10%,32.50%,6.3,4.3,19.4,107.3154,103.8112,0.5932129,-7.4148,CUSA
Washington,53,117,103.4,109.8,50.60%,53.70%,27.50%,71.50%,48.80%,50.80%,9.00%,6.50%,68.5,0.357,0.345,71.4,44.50%,50.10%,34.40%,69.00%,12.9,1.07,75.9,46.80%,53.30%,35.10%,6.2,3.7,18.4,109.6113,104.5129,0.6323111,-5.3112,B10
Monmouth,196,258,103.3,110.8,47.20%,51.80%,29.80%,65.30%,47.40%,49.60%,8.70%,7.60%,67.3,0.346,0.368,70.3,41.10%,44.20%,35.40%,74.20%,11.8,1.07,75.4,43.80%,50.70%,33.80%,5.9,4.5,18,104.122,112.0284,0.3010261,-14.5284,CAA
