Team,SOS,NET,Offensive Rating,Defensive Rating,EFG,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,PACE,3PAR,FTAR,PPG,FG%,2FG%,3FG%,FT%,APG,AST-TOV,Allowed_PPG,Allowed_FG%,2Point_Allowed_FG%,3Point_Allowed_FG%,SPG,BPG,Fouls,ADJOE,ADJDE,BARTHAG,WAB,CONF
North Florida,272,262,110.1,116.4,53.20%,55.10%,28.00%,65.80%,46.20%,53.60%,8.40%,4.80%,72.6,0.54,0.248,80.9,43.80%,54.00%,35.00%,67.90%,15.4,1.4,85.7,48.60%,54.50%,35.50%,6.2,3.2,18.1,107.7146,117.3349,0.2732275,-11.7229,ASun
Ohio,134,179,110.1,106.9,53.40%,57.10%,23.90%,71.00%,47.70%,49.40%,9.90%,4.80%,71.3,0.401,0.335,79.1,46.40%,53.90%,35.00%,76.50%,13.7,1.27,77.3,46.20%,50.40%,37.60%,7.2,2.9,17.8,106.8162,108.4214,0.4559178,-11.7231,MAC
UC Irvine,99,62,110.1,97.5,51.50%,57.80%,28.10%,73.50%,52.70%,60.30%,9.20%,5.50%,67.7,0.355,0.355,75.6,45.30%,50.70%,35.40%,80.70%,15.3,1.24,66.9,39.70%,43.20%,33.90%,6.3,3.3,15.2,106.0189,97.435,0.725684,-0.0453,BW
USC,27,70,110.1,108.8,54.60%,58.10%,28.20%,69.10%,49.30%,56.70%,9.20%,5.20%,69.3,0.347,0.364,76.9,48.20%,54.30%,36.70%,74.60%,15.4,1.25,75.5,46.10%,54.30%,32.90%,6.4,3,18,117.235,102.898,0.817656,-3.684,B10
Washington State,132,112,110.1,108.8,56.60%,58.90%,31.10%,66.60%,50.10%,59.30%,8.90%,7.80%,71.4,0.413,0.327,78.9,49.10%,58.20%,36.20%,70.10%,16.9,1.16,78.6,44.60%,51.70%,33.60%,6.4,4.9,19,113.169,106.8183,0.6582103,-4.9106,WCC
Winthrop,180,163,110.1,107,53.30%,56.30%,31.10%,68.50%,49.90%,43.10%,10.40%,5.40%,73.9,0.384,0.477,82.3,46.90%,55.00%,33.80%,66.20%,12,0.91,79.8,44.80%,50.60%,35.20%,7.8,3.3,20.3,107.515,108.2211,0.4822167,-6.3126,BSth
Georgia,18,33,109.9,101.8,52.10%,55.90%,35.90%,68.10%,52.70%,47.80%,11.30%,8.60%,68.6,0.37,0.401,75.3,46.00%,53.70%,32.90%,71.70%,12.5,0.96,69.9,41.30%,47.90%,31.60%,7.8,5.1,16.6,115.75,96.829,0.886335,2.038,SEC
San Francisco,72,64,109.9,100.6,52.80%,56.00%,29.00%,72.30%,50.50%,52.10%,9.30%,5.80%,69.1,0.437,0.347,76.2,45.30%,54.10%,34.10%,71.70%,13.8,1.19,69.6,43.60%,52.20%,27.90%,6.5,3.3,18.9,111.392,98.846,0.797464,-0.0152,WCC
Butler,57,83,109.7,109.3,53.20%,56.90%,26.30%,71.00%,50.20%,55.00%,5.90%,4.20%,67.4,0.412,0.371,74.2,45.60%,51.80%,36.80%,74.00%,13.9,1.26,74.1,43.80%,51.00%,31.40%,4,2.7,13.5,116.342,105.4149,0.756576,-6.0123,BE
Milwaukee,210,135,109.7,103.6,51.40%,54.50%,39.80%,73.40%,56.20%,49.50%,10.60%,5.70%,69.3,0.315,0.38,76.7,46.40%,53.10%,31.90%,68.20%,13.7,1.01,72.5,45.00%,52.20%,33.60%,7.4,3.3,17.7,106.7164,106.317,0.5107154,-6.9137,Horz
Stanford,62,81,109.7,105.1,50.70%,54.70%,30.90%,71.60%,50.70%,53.90%,10.10%,6.60%,66.9,0.418,0.299,73.5,43.50%,50.30%,34.10%,78.90%,13.8,1.32,70.7,44.80%,50.70%,33.40%,6.8,3.7,17.2,112.577,102.494,0.745777,-2.975,ACC
Temple,184,164,109.7,109.5,49.90%,54.80%,32.00%,68.70%,50.70%,40.60%,8.70%,5.90%,69.2,0.313,0.452,77.7,44.30%,48.20%,35.80%,73.40%,10.5,0.94,77.6,44.60%,51.00%,33.30%,6.2,3.6,18.1,110.61,110.4255,0.5044157,-9.6192,Amer
